Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
Hotel Villa de las Palmas,,"Carrera 4 #7-121, Purificación, Tolima",3.8556212,-76.1490893,4.3,155,
"Hotel | Posada Del Turista | Murillo, Tolima",Agregar sitio web,"Cl. 4 #48 # 8, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,
Hostal Pachanuna,,"Cl. 6 #5-126, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,
MS Casa Paraíso Murillo,Agregar sitio web,"Cl. 3 # 3-04, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,
Hostal Juan Páramo,Agregar sitio web,"Cl. 3 #9-85, Murillo, Tolima",4.8746606,-76.3916822,4.3,155,
Montaña de Fuego,Restaurante argentino,"Kra 10 #4-35, Murillo, Tolima",4.8740555,-75.7834504,,0,Cerrado ⋅ Abre a las 10 a.m. del jue
El Tablazo Restaurante,Restaurante,"Cra. 8 #3 - 27, Murillo, Tolima",4.8740555,-75.7834504,,0,
Merendero del Cumanday,Restaurante,"Murillo, Tolima",4.8740555,-75.7834504,4.9,136,Abierto ⋅ Cierra a las 10:30 p.m.
Casa Fuego - Espacio gastronómico y creativo,Restaurante,"Cl. 3 # 6 - 19, Murillo, Tolima",4.8740555,-75.7834504,4.9,136,
EL PAISITA🥘🍗🍳,Restaurante,"Cl. 3 #8-98, Murillo, Tolima",4.8740555,-75.7834504,4.9,136,Cierra pronto ⋅ 8:15 p.m. ⋅ Abre a las 6:45 a.m. del jue
Parque Principal de Murillo - Tolima,Parque,"Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Abierto las 24 horas
Parque Manuel Murillo Toro,Parque,"a 3a-73,, Cl. 11 #3a1, Ibagué, Tolima",4.8744803,-75.7808814,4.6,98,Abierto las 24 horas
Murillo Viajero,Parque,"Murillo, Tolima",4.8744803,-75.7808814,4.6,98,
Parque Nacional Natural Los Nevados,Parque nacional,"Carretera Manizales - Bogotá Km. 45, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 8 a.m. del jue
Termales de Murillo,Atracción turística,"Cl. 3 #5-54, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 7 a.m. del jue
Parque infantil murillo,Parque,"PARQUE PRINCIPAL, Cl. 4 #7-62, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,Cerrado ⋅ Abre a las 9 a.m. del jue
Cascada El Silencio,Atracción turística,"Cra. 5 #6-272, Murillo, Tolima",4.8744803,-75.7808814,4.6,98,
Parque Principal,Parque,"Purificación, Tolima",3.8593367,-75.536923,4.6,98,
Termales de la Cabaña,Estancia en granjas,"Vda. La Cabaña, Murillo, Tolima",4.8923578,-75.8715838,4.6,98,
Malecón Turístico Purificación,Museo,"Purificación, Tolima",3.8525345,-76.1498153,4.7,534,Abierto las 24 horas
Museo Arqueológico y Paleontológico de Prado,Museo arqueológico,"Carrera 3 con calle 8 Barrio, El Diviso, Prado, Tolima",3.8525345,-76.1498153,4.7,534,Cerrado ⋅ Abre a las 8:30 a.m. del jue
Museo de Arte del Tolima,Museo de arte,"Cra. 7 #5-93, Ibagué, Tolima",3.8525345,-76.1498153,4.7,534,Cerrado ⋅ Abre a las 10 a.m. del jue
Museo del Río Magdalena,Museo,"Calle 10 No. 9-01, Honda, Tolima",5.2020959,-75.9541712,4.7,534,
Murillo,Atracción turística,"Mariquita, Tolima",5.2020959,-75.9541712,4.7,534,
Arenales Mi Rancho,Museo,"Cunday, Tolima",3.9011219,-76.0294612,4.7,534,
Café Salinas,Cafetería,"Murillo, Tolima",4.8735313,-76.3911202,4.7,534,
Cascada arcoiris,Atracción turística,"VPFM+XQ, Murillo, Tolima",4.874997,-76.4850254,4.7,534,
Murillo Tolima,Atracción turística,"San Luís, Tolima",4.874997,-76.4850254,4.7,534,
Termales El Sifón,Atracción turística,"Murillo, Casabianca, Tolima",4.874997,-76.4850254,4.7,534,
Mirador,Atracción turística,"Vía al Nevado, Murillo, Tolima",4.874997,-76.4850254,4.7,534,
Letras de Murillo,Atracción turística,"Vía al Nevado #7-27, Murillo, Tolima",4.874997,-76.4850254,4.7,534,
Mirador de La Laguna Escondida,Mirador,"Cl. 2 #11-47, Murillo, Tolima",4.874997,-76.4850254,4.7,534,
Planta de Tiramiento de Agua Potable Murillo,Atracción turística,"Acueducto, Murillo, Prado, Tolima",3.80419,-76.1622924,4.7,534,
Laguna del Escondite,Reserva natural,"Murillo, Tolima",4.8687501,-76.3922689,4.7,534,
Corregimiento del bosque,Atracción turística,"Murillo, Prado, Tolima",3.80419,-76.1622924,4.7,534,
